course,author,rating,reviews,hours,lessons,level,price
Complete Oracle SQL Masterclass: Go from zero to Hero,"Ashwin Pajankar • 50,000+ Students Worldwide","4,6",41,20,183,Principiante,"14,99"
Complete beginners introduction to SQL,Bluelime Learning Solutions,"4,1",40,45,41,Principiante,"14,99"
Learn SQL Beginner to Advanced Level,Alexander Shafe,"4,5",40,135,135,Todos los niveles,"14,99"
SQL BootCamp 2020 - SQL for Beginners  (SQL Mastery Course),Rahul Singh Nirvan,"4,0",37,15,26,Intermedio,"14,99"
SQL Server: The 28 hour Masterclass course (9 courses in 1),"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.","4,4",37,28,392,Principiante,"14,99"
Learn SQL by Writing Queries,Shay Tavor,"4,3",36,35,32,Principiante,"14,99"
SQL: Data Analytics Applications in the Real World,Data Civilisation,"4,1",35,85,22,Intermedio,"14,99"
2021 Database Services on Microsoft AZURE,"Pranjal Srivastava, Harshit Srivastava","2,9",34,2,18,Todos los niveles,"14,99"
Learn SQL From Scratch No Experience Required,Fahmi Eshaq,"4,1",33,115,146,Todos los niveles,"199,99"
Introduction to Data Analysis and Reporting  with SQL,Bluelime Learning Solutions,"4,0",32,3,34,Principiante,"14,99"
SQL Bootcamp - Hands-On Exercises - SQLite - Part I,Paweł Krakowiak,"4,2",32,2,198,Principiante,"14,99"
Introduction to Data Extraction Using SQL,Bluelime Learning Solutions,"4,1",31,5,42,Principiante,"14,99"
The Complete Google BiqQuery Masterclass: Beginner to Expert,Sandeep Kumar,"3,7",29,85,162,Todos los niveles,"14,99"
SQL Hands-on  Essential Training for Beginners,Tech Academy,"4,3",29,15,23,Principiante,"14,99"
27 Practical SQL  Queries to solve Business Problems,Bluelime Learning Solutions,"3,4",28,3,34,Principiante,"14,99"
Learn SQL Concepts with simple examples,M K,"4,4",28,65,31,Intermedio,"14,99"
MySQL Database Bootcamp: Go from SQL Beginner to Expert,"Niharika Jain, Lavnya upadhyay","3,7",27,3,30,Principiante,"14,99"
Learn MariaDB SQL for beginners from scratch,Bluelime Learning Solutions,"3,5",26,4,42,Principiante,"14,99"
SQL for Data Analytics 2021,Tuan Vu,"4,6",25,35,46,Todos los niveles,"14,99"
The Complete SQL Bootcamp for Beginner,Jason Zhang,"4,5",24,4,41,Todos los niveles,"14,99"
Intermediate SQL for data analysis (no installation needed!),Guy Manova,"4,1",23,4,30,Intermedio,"14,99"
An Abridged Introduction to Dynamic SQL,Mike West,"3,8",23,1,26,Intermedio,"14,99"
Practical SQL Skills For Jobs | Businesses | Enterpreneurs,Bluelime Learning Solutions,"3,5",23,75,81,Intermedio,"14,99"
SQL Basics 2-Hour Crash Course,Webucator Training,"4,6",23,25,55,Todos los niveles,"14,99"
SQL database foundation: what your employer expects from you,Cristi Constantin,"4,6",22,3,52,Principiante,"14,99"
SQL Developer Skills For Beginners,Bluelime Learning Solutions,"4,1",22,55,47,Principiante,"14,99"
Data Warehousing and SQL End to End,Rahul Tiwari,"4,7",22,30,38,Todos los niveles,"14,99"
Learn Basic SQL with SQL Server 2019 Express,A O,"4,6",21,2,24,Principiante,"14,99"
SQL Programming For Beginners,Bluelime Learning Solutions,"3,6",20,4,41,Principiante,"14,99"
Stored Procedures and Functions Unpacked: A beginner's guide,Valuetech Academy,"3,4",20,25,20,Principiante,"14,99"
Beginner SQL for Data Analytics - No Coding Experience Req'd,Nate @ Wisdify,"4,5",20,35,53,Principiante,"14,99"
Learn SQL with Examples - Simple Select,John Anthony,"3,9",19,1,13,Principiante,"14,99"
The Ultimate SQL Bootcamp  2021,Emin Yardim,"4,4",19,1,56,Todos los niveles,"14,99"
SQL Data Analysis - Learn by Doing!,"Ram Kedem, Shuki Santana-Molk","4,6",19,9,46,Principiante,"14,99"
Structured Query Language (SQL) for Data Science,Analytics Vidhya,"3,7",19,35,94,Principiante,"14,99"
Mastering SQL Table Joins from scratch: Real World Examples,Bluelime Learning Solutions,"3,9",18,55,55,Principiante,"14,99"
Beginners Guide to Developing SQL Queries for SQL Server,Bluelime Learning Solutions,"4,3",18,4,35,Principiante,"14,99"
"SQL Bootcamp for Business, Product, &amp; Data Analysts",Manish Narayan,"4,6",18,2,55,Todos los niveles,"14,99"
Sql Interview question and Answer,Narendra Tripathi,"3,9",18,3,17,Todos los niveles,"14,99"
Retrieving Data from Oracle Database with SQL,Bluelime Learning Solutions,"3,7",18,4,46,Principiante,"14,99"
A beginners guide to writing SQL Functions,Bluelime Learning Solutions,"3,9",18,25,32,Principiante,"14,99"
Build Courier Tracking System in PHP OOP -- 2019,Peterson Fredrick,"3,8",17,225,85,Intermedio,"14,99"
Learn  how to build bulk SQL queries using Excel,Bluelime Learning Solutions,"3,3",16,25,28,Principiante,"14,99"
SQL: Read a Database like an Expert,Tom Gillies,"4,2",15,25,26,Todos los niveles,"14,99"
